Topic_01_Agriculture - 農業
inauguration - (n.)(總統)就職典禮
inaugural address - (n)就職演說
Topic_03_Anthropology_and_Archaeology - 人類學與考古學
anthropologist - (n)人類學家; anthropo-「人，人類」
mound - (n.) 塚；士石堆，小丘
burial - (n.)埋葬
cannibalism - (n)食人；同類相食; cannibal (n.) 食人肉者 (adj.)食人的
coffin - (n.)棺材
connoisseur - (n.) (藝術品的)鑑賞家，鑑定家
corpse - (n.)屍體; (易混淆: corps 發音[kor] 兵團,團體)
marital - (adj)婚姻的
extramarital - (adj)婚姻外的; • extramarital relations 婚外情
fabric - (n)織物，紡織品
seal - (n.) 印鑑；封印
weave - (v)編織
ritual - (n.) (宗教的)儀式 (= ceremony / rite)
aborigine - (n.) 原住民
arch - (n)足背，足弓
ethnic - (adj)種族的，民族的; •ethnic minority 少數民族
primitive - (adj)原始的(n)原始人
excavate - (v)發掘，挖出; The archaeologist excavated a Stone-Age tomb.
ruin - (n.) 〔可數〕廢墟，遺跡：〔不可數〕毀壞，破敗 (v)破壞，毀壞; •the ruins of Rome 羅馬的遺跡
artifact - (n)人工製品；工藝品
conservation - (n)(自然資源等的)保護，保存; • conservation area (建築、史蹟等的)保護區 <-> destruction (n.)破壞
conserve - (v.)保護，保存; • conserve energy 保存能源
demography - (n)人口統計學
demographic transition - (n)人口轉型
horticulture - (n)園藝
incise - (v)切，切開
outcrop - (n)(岩石或岩層的)露出
pictograph - (n)象形文字
Pleistocene - (n.) 更新世(地質時代第四紀的前半期)(adj.)更新世的
prehistoric - (adi)史前的，有歷史記載之前的
provenience - (n.) 起源，出處(=provenance)
quartzite - (n)石英岩(玻璃、耐火磚、陶瓷器的原料)
date - (v)推斷、鑑定...的年代：(藝術等)屬於某時期; • We date the custom from the colonial days. 我們推斷這個習俗來自殖民地時期
radiocarbon dating - (n.) 放射性碳定年法
sedentary - (adj.)定居性的，不遷徙的 <-> migratory (adj)移居性的
ethnography - (n)人種誌，人種論
subsistence - (n.)生存：(最低限度的)生活，生計
Topic_04_Architecture - 建築學
baroque - (adj)(建築、音樂、藝術等)巴洛克風格的; • the Baroque 巴洛克式建築：巴洛克音樂
canopy - (n)(罩在床鋪或寶座上面的)罩篷，華蓋
railing - (n.) 圍欄，欄杆
residence - (n.) 住宅; reside (v)居住
abbey - (n.) 大修道院
acropolis - (n)(古希臘城市的)衛城(通常蓋在山丘上)
aisle - (n.) (教堂的)側廊(中殿(nave) 側面的走廊)；通道
ambulatory - (n)(修道院等的)走廊，迴廊
spacious - (ad.)寬敞的
spatial - (adj)(關於)空間的
antique - (ad.)古式的，古董的; antiquarian (adj)古物的，研究、收藏古物的
arcade - (n)拱廊
atrium - (n)(古羅馬建築的)中庭，主廳
baptistery - (n)洗禮堂，浸禮池
basilica - (n) (古羅馬的) 長方形會堂; 長方形廊柱大廳式教堂
buttress - (n.)拱壁，扶牆
chancel - (n.) 高壇，聖壇 (常在教堂東側，牧師和唱詩班所坐的地方)
choir - (n) (尤指教堂的) 唱詩班，合唱團
clerestory - (n)高窗，縱向天窗 (教堂側廊頂端供採光和通風之用的窗戶)
cloister - (n.)(教堂、修道院等的)迴廊：修道院
coffer - (n.)(天花板或圓屋頂的)裝飾用鑲板：保險箱
colonnade - (n.)柱廊，列柱
column - (n.)柱，圓柱
beam - (n.)横樑，桁
corbel - (n)樑托(從牆上伸出用來支撐的支柱)
girder - (n)大樑
cornice - (n)飛簷(牆或桂頂突出的裝飾)
crypt - (n.)教堂地下室
dome - (n.)圓屋頂; • the dome of the Capitol Building 美國國會大廈的圓頂
dormer - (n)天窗，老虎窗(= dormer window)(突出於斜面屋頂的窗戶)
engraving - (n)雕刻(術)：版晝
facade - (n)(建築物的)正面：外觀
finial - (n)(屋頂或家具頂部的)尖頂裝飾
fluting - (n.)(柱子等的)凹槽裝飾
fresco - (n.) 壁畫
gable - (n)山形牆，三角牆(=pediment); • gable roof 山形屋頂，人字型屋頂
gargoyle - (n)石像鬼(哥德式建築屋頂的怪物狀滴水嘴，作用是將雨水導離屋頂)
groin - (n.)交叉穹棱，交叉拱頂(拱狀的穹肋於頂端交叉所形成的屋頂)
lintel - (n)過樑(門或窗上面的横木)
mosaic - (n.)鑲嵌工藝(品)；馬賽克
narthex - (n)(古教堂的)前廊；(通往中殿的)教堂門廳
pagoda - (n)(佛教等的)塔，寶塔
pantheon - (n)萬神殿，殿堂；諸神
pediment - (n.)山形牆，三角牆(=gable)
pilaster - (n.)壁柱，半露方柱(部分嵌在牆中、作為裝飾之用的扁平方柱)
pyramid - (n.)金字塔
quoin - (n)(建築物的)外角，隅石
rib - (n)(圓拱的)彎樑，肋樑
rotunda - (n)(有圓屋原的)圓形建築物。圓形大廳
sanctuary - (n)聖殿，聖所；保護區
spandrel - (n)三角壁，拱肩
stupa - (n)佛塔
sublime - (adj)莊嚴的，雄偉的
picturesque - (adj.)如畫的，美麗的
tracery - (n)窗花格(哥德式窗戶上方的裝飾窗格)
transept - (n.)袖廊，兩側走廊(十字型教堂的左右翼部，典中殿成直角)
vault - (n)(教堂等的)拱型圓屋頂；地窖
urban - (adj.)都市的; •urban planning 都市計畫
urban congestion - (n.)都市密集; traffic congestion 交通壅塞
urban fringe - (n)都市周邊
flat - (n.)公寓 (=apartment house); flat roof 平屋頂
tenement - (n)(尤指都市貧民區的)廉價公寓(=tenement house)：租地
tenant - (n.)房客，承租人
amenity - (n)〔常用複數〕生活福利設施，便利設拖(如公園圖書館等)
apartment - (n)公寓; ofurnished apartment 附家貝的公寓
occupancy - (n)(土地、住宅等的)占有，居住
cooperative - (n)合作公寓，共同產權公寓(住戶無獨立產權，只有公寓使用權)：合作社
condominium - (n)公寓大樓(住戶擁有獨立產權)
property - (n.)財產
Gothic - (n.)哥德式建築 (adj)哥德式的
Romanesque - (n)羅馬式，羅馬風格 (adj) 羅馬式的，羅馬風格的
spire - (n)(教堂的)尖塔
arch - (n〕拱型結構，拱門
renovation - (n)(建築物的)裝修，翻新(= restoration)
