en,review_times,correct_times,avg_correct_rate,avg_elapsed_time,total_elapsed_time
cooperation,2,2,1.0,31.1,62.19
Puritan,2,2,1.0,25.66,51.32
agrarian,4,3,0.75,19.59,78.35
exhaustion,1,1,1.0,15.65,15.65
sow,3,1,0.33,12.4,37.2
fertilizer,3,3,1.0,12.06,36.17
cropland,5,4,0.8,11.35,56.769999999999996
soil conservation,5,5,1.0,10.32,51.59
vegetation,1,0,0.0,10.26,10.26
cultivation,2,2,1.0,9.94,19.88
agronomist,6,3,0.5,9.08,54.480000000000004
integrate,1,1,1.0,8.05,8.05
basil,1,0,0.0,7.74,7.74
hoe,2,1,0.5,7.32,14.64
plantation,2,0,0.0,6.54,13.09
degrade,4,4,1.0,6.53,26.119999999999997
immigrant,2,2,1.0,6.31,12.620000000000001
weed,3,2,0.67,5.72,17.16
barley,2,0,0.0,4.82,9.64
crop,5,5,1.0,4.77,23.84
the slash-and-burn method,5,5,1.0,4.69,23.47
agrichemical,2,2,1.0,4.52,9.04
proponent,2,2,1.0,4.5,9.0
bison,2,2,1.0,4.3,8.61
subterranean,2,2,1.0,4.28,8.55
intensive,4,4,1.0,4.02,16.080000000000002
plow,7,6,0.86,3.87,27.109999999999996
millet,2,1,0.5,3.86,7.71
soil fertility,3,3,1.0,3.67,11.02
nutrient,4,4,1.0,3.47,13.879999999999999
Topic_02_American_Studies,2,2,1.0,2.9,5.81
Topic_01_Agriculture,1,1,1.0,2.69,2.69
verge,2,2,1.0,2.36,4.7200000000000015
soil,1,1,1.0,2.32,2.32
windmill,2,2,1.0,2.22,4.4399999999999995
deplete,4,4,1.0,2.2,8.82
region,2,2,1.0,2.13,4.27
dairy,1,1,1.0,2.0,2.0
barn,1,1,1.0,1.92,1.92
grain,2,2,1.0,1.91,3.82
herbicide,1,1,1.0,1.9,1.9
diversity,2,2,1.0,1.88,3.76
wheat,0,0,,,0.0
regenerate,0,0,,,0.0
fallow,0,0,,,0.0
livestock,0,0,,,0.0
prune,0,0,,,0.0
depletion,0,0,,,0.0
nomadic,0,0,,,0.0
Pueblo,0,0,,,0.0
adobe,0,0,,,0.0
